"Nombre","Direccion","Idioma","Valor_Cafeteria","Ciudad","Genero","Total_Profesores","Fundacion","Promedio_Alumnos","Total_Alumnos","Confesional","Valor_Transporte","Valor_Pension","Jornada","Calendario"
"Gimnasio Campestre Reino Británico Bilingüe Internacional (Tenjo)","Kilómetro 7 vía Siberia - TenjoVer","Bilingüe Español Inglés + Mandarín",372000,"Tenjo","Mixto",87,2004,21,1010,"No",251000,725000,"7:45 a.m. a 3:45 p.m.","A: Febrero a Noviembre"
"Gimnasio Campestre San Rafael (Tenjo)","Km 6 vía Siberia - Tenjo
Ten","Bilingüe Español Inglés",355000,"Tenjo","Mixto",40,1999,16,440,"Si",386000,1150,"7:50 a.m. – 4:00 p.m.","B: Agosto a Junio"
"Gimnasio Colombo Británico (Bogotá)","Costado Sur Occidental
Aerop","Bilingüe Español Inglés Británico",200001,"Bogotá D.C.","Mixto",150,1988,25,1300,"Si",200001,1000,"Lunes a jueves: 7:30 a.m. a 3:15 p.m. V","A: Febrero a Noviembre"
"Gimnasio de Los Cerros (Bogotá)","Calle119 # 4 - 48","Bilingüe Español Inglés",348000,"Bogotá D.C.","Masculino",84,1964,25,650,"No. Se brinda formación Católica, enco",344000,2600,"Única 8:00 a.m. a 3:45 p.m.","B: Agosto a Junio"
"Gimnasio El Hontanar – Colegio Bilingue Internacional (Chía)","Kilometro 17 carretera Central del Norte","Bilingüe Español Inglés",,"Chía","Mixto",120,1993,25,1300,"Católico",,1600,"7:45am a 3:45pm","A: Febrero a Noviembre"
"Gimnasio El Portillo (Bogotá)","Km 6 vía Suba-Cota
Bogotá","Bilingüe Español Inglés",280000,"Bogotá D.C.","Mixto",25,1971,20,270,"Católico, con respecto a la libertad de",300000,485000,"Única de 7:25 a.m. a 3:00 p.m.","A: Febrero a Noviembre"
"Gimnasio Femenino (Bogotá)","Carrera 7 No 128-40
Bogotá","Bilingüe Español Inglés",327215,"Bogotá D.C.","Femenino",180,1926,19,660,"Laico",397000,2668,"Lunes, martes, miércoles y viernes 7:20","B: Agosto a Junio"
"Gimnasio Fontana (Bogotá)","Calle 221 No. 108 – 20 Guaymaral Bogot","Bilingüe Español Inglés + Francés",378900,"Bogotá D.C.","Mixto",110,1986,20,878,"No",416000,742000,"8:00 a.m. a 3:00 p.m.","B: Agosto a Junio"
"Gimnasio Inglés Campestre (Bogotá)","Calle 213 No 95 - 00
Via Arra","Bilingüe Español Inglés",400001,"Bogotá D.C.","Mixto",40,28,20,250,"Católico",400001,800001,"Única Calendario A","A: Febrero a Noviembre"
"Gimnasio José Joaquín Casas (Bogotá)","Avenida 7 No. 173 - 02Bogotá","Intensivo Inglés",,"Bogotá D.C.","Mixto",25,1959,15,250,"--",,,"7:00 am a 3:00 pm","A: Febrero a Noviembre"
"Gimnasio la Arboleda (Bogotá Vía Suba – Cota)","Km 6 Via Suba Cota, Bogotá, Cundinamarc","Bilingüe Español Inglés",400000,"Bogotá (Vía Suba- Cota)","Mixto",24,1996,,150,"No aplica",330000,1000,"Lunes a Viernes 7:30am a 2:45pm","B: Agosto a Junio"
"Gimnasio Los Andes (Bogotá)","Avenida calle 209 No 45 - 80","Bilingüe Español Inglés",300001,"Bogotá D.C.","Mixto",102,1985,25,1350,"Laico",300001,800001,"Única","A: Febrero a Noviembre"
"Gimnasio Los Caobos (Chía)","Vereda la Balsa
Vía Guaymar","Bilingüe Español Inglés",320000,"Chía","Mixto",68,1991,17,910,"Si",350000,1700,"7:45 a.m. a 2:45 p.m.","B: Agosto a Junio"
"Gimnasio Los Pinos (Bogotá)","Calle 193 No. 9 -20
Bogotá","Bilingüe Español Inglés",160001,"Bogotá D.C.","Mixto",100,1967,18,1200,"No Confesional",170001,800001,"Única. 6:40 a.m. a 2:50 p.m. Extracurri","A: Febrero a Noviembre"
"Gimnasio Los Portales (Bogotá)","Calle 212 No. 77 – 20
Vía","Bilingüe Español Inglés",350000,"Bogotá D.C.","Femenino",86,1987,17,500,"Católico",400000,2000,"7:00 am a 3:00 pm. Preescolar sale un d<c3>","B: Agosto a Junio"
